fund_name,matched_firm_name,matched_firm_confidence,crd_no,cik_no
Realtime Adventure Data Inc,M,1.0,304760.0,1679660
A Plus Fund Ltd,Plug And Play Fund Management I,0.9315104547666728,321635.0,1526713
New Legacy Matrix Niche Strategies,New Legacy Group,0.9492033030441456,160969.0,1638144
New Frontier Energy,New Energy Capital Partners,0.8063692016593788,162238.0,1140586
Perfect Search Corp,Architect Capital Corp,0.9915923115656066,315010.0,1395791
Hedgepremier Ozcr Fund Lp,M,1.0,304760.0,1637919
Clc Entertainment Studios Inc,Indio Entertainment,0.832082038010072,291367.0,1594353
Premier Biomedical,M,1.0,304760.0,1515740
Brp Capital,Trp Capital Advisors,0.9465654274928861,281098.0,1678702
Patriot National Bancorp,Advent International Corporation,0.9957055848097598,105673.0,1098146
Rollins Capital Partners Lp,Rollins Capital Management,0.7338402373034875,167572.0,1460559
Semler Scientific Inc,Mammoth Scientific,0.9791423254579574,314421.0,1554859
Atlas Fintech Holdings Corp,Atlas Holdings,0.6316792371659914,160610.0,1677188
New Millennium Fundamental Hedged Equity Qp Lp,Millennium Management,0.9957485215807058,158117.0,1326297
Care Angel,Angels,0.8142924949093328,314286.0,1679968
Aemetis,Aetna Capital Management,0.9164983331969142,132957.0,738214
Jubilee Gold,M,1.0,304760.0,1611277
Casahealth Tech Inc,M,1.0,304760.0,1760700
Know Labs,Lemnos Labs,0.9562449556143447,163685.0,1074828
Southern National Bancorp Of Virginia Inc,M,1.0,304760.0,1325670
Frontier Financial Alternative Investment Fund Lp,Alternative Investment Fund Manager,0.6758228804974289,321060.0,1484490
Blue Pillar,Blue Pine Partners,0.7980247399794497,169353.0,1438197
Nittany Lion Fund,Nitrogen Fund Managers,0.9870036208763376,300449.0,1305085
Altair Chp Fund Ii,Altor Fund Ii Gp Limited,0.9497618599416028,161901.0,1661064
Lonerider Spirits,Spider Capital,0.9196699368211829,282546.0,1741454
Lazard International Strategic Equity Acw Ex U S Trust,Strategic International,0.9733123860707354,287914.0,1525576
Naturalnano Inc,M,1.0,304760.0,863895
Beam Therapeutics Inc,M,1.0,304760.0,1745999
Koko Ltd,Dioko Management,0.9515253633778068,319573.0,1408351
Ryder Court International Select Fund Dst,Capital Fund Management International,0.9778199052618052,287973.0,1445910
Noro Moseley Partners Viii L P,Noro Moseley Partners,0.7246791258597629,162877.0,1746893
Ashmore Emerging Markets Corporate High Yield Fund Ltd,M,0.9999999999999998,304760.0,1566883
Flexdex Inc,Flex Capital,0.6828978031977531,290069.0,1626072
Bp Transtrend Diversified Fund,Sciens Diversified Managers,0.9020413292941996,299996.0,1433771
Blackstone Partners Offshore Fund Ltd Class H Shares,M,0.9999999999999998,304760.0,1482789
International Strategies Fund,Strategic International,0.651049433970417,287914.0,1094533
Nuo Therapeutics Inc,M,1.0,304760.0,1091596
Hldr Fund I Ust Lp,M,1.0,304760.0,1665102
Kura Oncology Inc,Mpm Oncology Innovations Management,0.969596274493239,289486.0,1422143
Fort Baker Catalyst Fund Lp,Fort Baker Capital Management Lp,0.7947085399050695,282926.0,1666490
Pegasi Energy Resources Corporation,Resource Capital Investment Corporation,0.9000862043168352,166722.0,1363254
Tsg Venture,Tsg Consumer Partners Lp,0.9708136025985756,160826.0,1725935
Magnetar Equity Opportunities Fund,Cobro Opportunity Fund Gp,0.8646097677819294,309434.0,1514096
Cove Dulles Distribution Dst,M,1.0,304760.0,1789409
Solera Health Inc,Meta Health Capital,0.9164519099094116,305255.0,1657730
Savran Technologies Inc,Income Technologies,0.7113510761192654,284678.0,1732517
Cirkul Inc,M,1.0,304760.0,1678810
Eyechronic,Tiger Eye Capital,0.9980952265911248,161403.0,1692316
Marf Holdings B L P,Aec Holdings L P,0.8835480123430124,288791.0,1548161
T Rex Oil,M,1.0,304760.0,1287900
Rva Financing Fund Lp,Furlong Financial,0.9309197041414844,169435.0,1673083
Middle Market Buyout Credit Select Fund L P,M,1.0,304760.0,1780889
Synaptive Medical Inc,M,1.0,304760.0,1621394
Flux Technologies Corp,Florian Technologies,0.6788023234760434,308355.0,1540684
Broadfin Healthcare Fund Lp,Broadfin Capital,0.877329654993427,156900.0,1354025
South Georgia Partners Lp,Georgian Partners Growth L P,0.7650742684759754,283132.0,1494929
Tiger Global Long Opportunities L P,Target Global Selected Opportunities Lp,0.8728359048082283,311110.0,1588773
Courage Special Situations Offshore Fund Ltd,Vep Special Situations Fund,0.8278913576857291,281940.0,1324673
Aacp China Venture Investors I L P,Aacp Investments,0.8585107478433042,314568.0,1767950
Dms Global Tactical Asset Allocation Fund,Allocations Advisers,0.9818220039979034,314820.0,1534559
Leviticus Partners L P,Marcus Partners,0.8650268055850227,161326.0,1019432
Hedgepremier Graham Absolute Return Fund Lp,Absolute Return Capital,0.9038963875329818,145647.0,1510774
Lc Luxuries Ltd,M,1.0,304760.0,1281198
Vicis Inc,M,1.0,304760.0,1608939
Otto Robotics,Grishin Robotics,0.8550656278016724,306589.0,1693518
Systematica Bluematrix Fund Ltd,Systematica Investments Limited,0.9872357899386072,173876.0,1465742
Alpha Core Strategies Feeder Fund Q P,Core Capital Strategies,0.9972584584444492,154590.0,1303005
Arbors Osv,Arbop,0.9866389157246694,314574.0,1769109
Aurelius Capital International Ii Ltd,Laurium Capital International Ltd,0.8263575780243038,282873.0,1613483
Oha Diversified Credit Strategies Fund Aud Feeder Ltd,Sciens Diversified Managers,0.9983606644697316,299996.0,1611973
Riverview Financial Corp,Corporate Financial Management,0.9298232816530776,321100.0,1590799
Activecare,Actis,0.8542336138031136,160424.0,1429896
Nezu Master Strategy Feeder Ltd,M,1.0,304760.0,1665001
Centage Corp,Centerpoint Capital,0.9338431355148366,316757.0,1621127
