,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
0,Health Platforms Group,Platform Capital,0.9265305947473207,1716227,40327,226582,
1,James River Value Fund,Blue River Waters Fund,0.8117235802934833,1696545,38998,321064,
2,Elastic Projects,Project A,0.6909456841821604,1709481,39904,319556,
3,Impala Expedition Fund,Space Cadet Expeditions,0.8857514941622506,1672510,37990,312123,
4,Private Credit Iii,Oha Private Credit Advisors Ii,0.7972397751982362,1731603,41382,322289,
5,Trend Discovery,Trend Discovery Capital Management,0.5363684624900248,1550970,33941,170082,
6,Safestitch Medical,S,0.9999999999999998,876378,21744,108401,
7,P Select Strategy Fund,Select Capital Strategies,0.8765545347942179,1139053,28718,169483,
8,Obrien Alternative Strategic Investment Solutions,Strategic Investment Solutions,0.6404619216070818,1612413,35809,143128,
9,Benchsentry,S,1.0,1740454,42351,108401,
10,Tixfi,S,1.0,1605024,25035,108401,
11,Phronesis Partners L P,Genesis Partners,0.8720185970358368,937074,27521,132783,
12,Breaker Flagship Fund,Flagship Advisors,0.8495178896419248,1680629,58654,124199,
13,Medallia,Medallion Wealth Advisors,0.8461768535430867,1540184,33627,156064,
14,Thoma Bravo Credit Fund I Offshore,Thoma Bravo,0.8826022830276433,1708208,39797,157041,20469.0
15,Our Street, Street,0.7794983358376096,1693016,38860,173291,
16,Communicare Technology,Ii Technology,0.7907646940600223,1594455,35171,282760,
17,Chartwell Family Fund,Chartwell Family Office,0.6984355188600624,1076794,28252,108793,
18,Suplari,Variplan,0.9616570451194629,1695178,38951,143361,
19,Sustainable Insight Capital Management,Sustainable Insight Capital Management,1.4901161193847656e-08,1580677,499,166616,499.0
20,Northlander America,Wendel North America,0.7600603396738679,1665698,37619,284733,
21,Premier Alliance Group,Premier Financial Group,0.7297331245852317,1272550,23611,107314,
22,Fastly,Atlas Family Office,0.9808043577465538,1517413,33100,172114,
23,Biorealize,Realized Financal,0.9221885955773136,1761302,43949,22333,
