fund_name,matched_fund_name,matched_fund_confidence,crd_no,cik_no
Realtime Adventure Data Inc,Adventure Fund I Lp,0.9659528573640168,315103.0,1679660
A Plus Fund Ltd,Hedge Fund Partners Plus Ltd,0.805161178170528,107850.0,1526713
New Legacy Matrix Niche Strategies,New Legacy Matrix Niche Strategies,0.0,160969.0,1638144
New Frontier Energy,New Energy Investors Iii Lp,0.8720950870229578,171783.0,1140586
Perfect Search Corp,,1.0,289388.0,1395791
Hedgepremier Ozcr Fund Lp,,1.0,289388.0,1637919
Clc Entertainment Studios Inc,Indio Entertainment Fund,0.7792717345510373,291367.0,1594353
Premier Biomedical,Parallax Biomedical Fund L P,0.9143920577736196,282813.0,1515740
Brp Capital,Brp Ii Lp,0.8309902932985991,134436.0,1678702
Patriot National Bancorp,Chart National Lp,0.9474409756616888,307087.0,1098146
Rollins Capital Partners Lp,Rollins Capital Partners Lp,0.0,167572.0,1460559
Semler Scientific Inc,Fund Of Scientific Strategies Lp,0.9876136920029206,283803.0,1554859
Atlas Fintech Holdings Corp,Atlas Private Holdings,0.7872411613182375,138111.0,1677188
New Millennium Fundamental Hedged Equity Qp Lp,New Millennium Fundamental Hedged Equity Qp L P,0.14148541958828498,282241.0,1326297
Care Angel,Angels Lp,0.8539124345840641,314953.0,1679968
Aemetis,Ae,0.8569703406256994,162835.0,738214
Jubilee Gold,Jubilee,0.6041480259353881,143062.0,1611277
Casahealth Tech Inc,Ca Tech Fund I Lp,0.9704152690082268,318250.0,1760700
Know Labs,Av Labs L P,0.994622327055126,160118.0,1074828
Southern National Bancorp Of Virginia Inc,,1.0,289388.0,1325670
Frontier Financial Alternative Investment Fund Lp,Frontier Financial Alternative Investment Fund Lp,0.0,281090.0,1484490
Blue Pillar,Pillar I L P,0.8412575042109678,284053.0,1438197
Nittany Lion Fund,,1.0,289388.0,1305085
Altair Chp Fund Ii,Altair Chp Fund Ii,0.0,108559.0,1661064
Lonerider Spirits,Spirits Lp,0.8533649521695166,305170.0,1741454
Lazard International Strategic Equity Acw Ex U S Trust,Lazard International Strategic Equity Acw Ex Us Trust,0.3387095225983399,122836.0,1525576
Naturalnano Inc,,1.0,289388.0,863895
Beam Therapeutics Inc,Gmag Therapeutics Fund Lp,0.8338473370588141,313456.0,1745999
Koko Ltd,Kore Fund Ltd,0.9211586013683136,159663.0,1408351
Ryder Court International Select Fund Dst,Ryder Court International Select Fund Dst,0.0,167596.0,1445910
Noro Moseley Partners Viii L P,Noro Moseley Partners Viii Lp,0.20094568737340032,162877.0,1746893
Ashmore Emerging Markets Corporate High Yield Fund Ltd,Ashmore Emerging Markets Corporate High Yield Fund Limited,0.35844543073625296,170303.0,1566883
Flexdex Inc,Flex I A Series Of Flex Ventures Lp,0.9260541703280788,290069.0,1626072
Bp Transtrend Diversified Fund,Aspect Diversified Trends Fund,0.8422266549580804,127600.0,1433771
Blackstone Partners Offshore Fund Ltd Class H Shares,Blackstone Partners Offshore Fund Ltd,0.5846897006820729,107580.0,1482789
International Strategies Fund,International Strategies Fund,0.0,122268.0,1094533
Nuo Therapeutics Inc,Gmag Therapeutics Fund Lp,0.8865321004079303,313456.0,1091596
Hldr Fund I Ust Lp,Hldr Fund I Ust Lp,0.0,282371.0,1665102
Kura Oncology Inc,Arch Oncology Investors,0.9096111926098356,283349.0,1422143
Fort Baker Catalyst Fund Lp,Fort Baker Catalyst Master Fund Lp,0.3836063694257054,282926.0,1666490
Pegasi Energy Resources Corporation,Trace Energy Resources Fund Ii Lp,0.8635045933064665,322094.0,1363254
Tsg Venture,Tsg Ventures Xi,0.5051951185355198,298881.0,1725935
Magnetar Equity Opportunities Fund,Mark Equity Opportunities Fund Lp,0.6857757030861649,105691.0,1514096
Cove Dulles Distribution Dst,Jll Fund Vii Distribution Lp,0.9276205167124688,285186.0,1789409
Solera Health Inc,Mars Health Fund I,0.8794054394264983,283347.0,1657730
Savran Technologies Inc,Janvest Technologies Lp,0.8132103760488176,307760.0,1732517
Cirkul Inc,,1.0,289388.0,1678810
Eyechronic,Dep Eye L P,0.9145054586809106,816.0,1692316
Marf Holdings B L P,Marf Holdings B L P,1.4901161193847656e-08,156855.0,1548161
T Rex Oil,,1.0,289388.0,1287900
Rva Financing Fund Lp,Rva Fund,0.8334159508213395,289928.0,1673083
Middle Market Buyout Credit Select Fund L P,Middle Market Buyout And Credit Select Fund L P,0.21503199915638016,177513.0,1780889
Synaptive Medical Inc,Synaptic Medical Fund L P,0.5880127944110313,164768.0,1621394
Flux Technologies Corp,Flow Control Technologies Lp,0.7498251321947191,311053.0,1540684
Broadfin Healthcare Fund Lp,Broadfin Healthcare Master Fund Ltd,0.4598832411427738,156900.0,1354025
South Georgia Partners Lp,South Georgia Partners Lp,0.0,146765.0,1494929
Tiger Global Long Opportunities L P,Tiger Global Long Opportunities L P,0.0,160318.0,1588773
Courage Special Situations Offshore Fund Ltd,Kkr Special Situations Offshore Fund L P,0.6658764006041762,146629.0,1324673
Aacp China Venture Investors I L P,Aacp China Venture Investors L L P,0.2524351336712429,141481.0,1767950
Dms Global Tactical Asset Allocation Fund,Dms Global Tactical Asset Allocation Fund,0.0,145851.0,1534559
Leviticus Partners L P,Leviticus Partners L P,0.0,160452.0,1019432
Hedgepremier Graham Absolute Return Fund Lp,Graham Absolute Return Asp Fund,0.722358333803429,133204.0,1510774
Lc Luxuries Ltd,,1.0,289388.0,1281198
Vicis Inc,Bencis Vi C V,0.9707315933689424,164791.0,1608939
Otto Robotics,Grishin Robotics Fund L P,0.9076346206377488,306589.0,1693518
Systematica Bluematrix Fund Ltd,Systematica Bluematrix Fund L P,0.2759815866735012,289335.0,1465742
Alpha Core Strategies Feeder Fund Q P,Alpha Core Strategies Feeder Fund Q P,0.0,174762.0,1303005
Arbors Osv,Arbop Lp,0.971963408773636,314574.0,1769109
Aurelius Capital International Ii Ltd,Capital International Ltd,0.6634824855218227,161111.0,1613483
