fund,matched_fund,fund_confidence,cik_no_fund,form_d_fund_id,crd_no_fund,form_adv_fund_id
Omsom,Oms Transition Fund Ii,0.9589940707751899,1783848,60424,285938,
Comm Technologies,Milcom Technologies,0.6625673896890902,1847089,104607,160426,
Axonius,Axon Partners,0.8500429112606496,1787130,57422,158281,3981.0
Crown Titan # Joint Venture,Fund # ,0.9048801133359964,1899269,136293,297448,
Ascendant Capital Fund,Ascendant Capital Fund,0.0,1794190,65602,306257,
Dti Acquisition, Acquisition,0.6284253310994085,1870450,118666,284659,
New Horizons Investments Hg,Horizon Investment,0.8110546662847583,1869329,119992,161328,
Mighty Brands,Mighty Capital Fund I,0.8476855874683278,1830006,94043,291128,
Layerbio,,0.9999999999999999,1614493,118196,167212,3656.0
James River Multi Strategy Fund,James River Multi Strategy Fund,0.0,1696092,72909,133297,142557.0
Liventi,Bullpen Liveintent,0.997024890671861,1831388,95034,166060,
Chingari I A Series Of Republic Master Fund,Chingari I A Series Of Republic Master Fund,0.0,1836643,98523,316437,
Bear Technology Fund,Core Technology Fund,0.5621352985748488,1853681,108284,133711,12575.0
Omni Real Estate Investment Fund,Omninet Real Estate Fund ,0.5828458341539619,1898785,136280,165911,
Helios Hockey,Helios Smash Helicore Blocker,0.8320083615580344,1765530,80363,319615,
Brightwood Capital Fund V,Brightwood Capital Fund V,0.0,1867531,117421,167330,
Health Haven Rx A Series Of Tbd Angels Master,Wishroute A Series Of Tbd Angels Master,0.825516059939893,1918904,151445,306829,
Amgine Technologies Us,Emerging Technologies Fund Ii,0.7850343219968556,1693624,107571,136313,6120.0
Miertalk Ii  A Series Of Sax Capital Series Fund Iii,Miertalk Ii  A Series Of Sax Capital Series Fund Iii,1.0536712127723509e-08,1844039,102601,288220,
Japan Up Limited Partnership,Scip Limited Partnership Ser,0.8231519582883694,1719403,61253,160308,
Goldtinum Holdings, Holdings,0.7707724883787639,1862980,112326,137388,2725.0
