partners,matched_owners,owners_confidence,cik_no_partners,form_d_partners_id,crd_no_owners,form_adv_owners_id
Richard Smith,Smith Richard,0.5195612283467047,1308569,479,302036,50799
Daniel Clarke,Clark Daniel,0.644697401162416,1453420,424,114445,12393
Ian Wylie,Wylie Ian,0.49947565129970517,1553872,1186,166159,13477
Carolyn Flanagan,Flanagan Carolyn Marie,0.5092412873323918,1465214,659,106435,7188
Robert Roskoph,Susko Robert,0.7844061699350623,1560053,1196,140287,35172
Michael Harrison,Jones Michael Harrison,0.4846485315760869,1293310,334,171849,3587
Angelina Galiteva,Gates Angela Gaye,0.9870910463274818,1537435,365,17073,3005
John Remondi,Remondi John Joseph,0.7074570438997652,315066,125,168741,11998
Jason Thompson,Thompson John,0.6993006252967402,1377149,573,163936,14865
Hon Bill Carter,Carter Bill Edward,0.8272961022960793,1357838,569,116249,42174
Doretta Dunegan,Duncan Donald Duane,0.9837896485533557,1439166,773,123600,1171
John Stetson,Watson John Steen,0.6633151743960177,1507605,661,309949,54009
Pieter De Waal,Pieter De Jong Aart,0.9605988881642576,1414496,802,159880,6691
Ronald Pressman,Pressman Ronald Richard,0.6670979977372318,315038,135,154984,4059
David Lemont,Lemons David Wayne,0.8164914284482969,1604508,733,147910,9393
Jeffrey Grout,Troutner Jeffrey Charles,0.7979699595755159,1499717,501,110450,269
Gerald Riopelle,Riopelle Russell James,0.9356738956882532,1423357,486,159473,13112
Daniel Bordessa,Borello Daniel James,0.9476279738671578,1561099,1200,16860,37939
Kenneth Olsen,Olson Kenneth Wayne,0.8113832865006864,1584618,436,299426,48494
Travis Schneider,Schneider David F,0.7698136883792346,1561180,1201,307244,52185
Howard Weitzman,Heitzmann Richard,0.8851643643427514,1464790,97,162883,1014
Scott Reed,Davis Scott Reed,0.5898831282672032,357108,547,312314,55533
Dean Kollintzas,,1.0,832489,517,316652,57985
Edward Weil Jr,Welch Edward Virgil Jr,0.8552078773395309,1568832,592,104664,8811
Stuart Benson,Berson Stuart Mark,0.7428835663109636,1040792,224,299734,48695
Michael Brodsky,Brodsky Michael Benjamin,0.6466685698252912,1090908,618,307765,52974
