matched_firm_name,firm_name,cik_no,crd_no,related_partner,matched_owner_name,matched_firmowners_confidence,formd_funds
International Investment Group,Electronic Cigarettes International Group Ltd,1398702,106421.0,Pat Lavecchia,Lavecchia Thomas,1.7654348754694449,Teckmine Industries
International Investment Group,Electronic Cigarettes International Group Ltd,1398702,106421.0,Pat Lavecchia,Lavecchia Thomas,1.7654348754694449,Victory Electronic Cigarettes Corp
International Investment Group,Electronic Cigarettes International Group Ltd,1398702,106421.0,Darin Silvernagle,Silver Martin S,1.8485449049414384,Teckmine Industries
International Investment Group,Electronic Cigarettes International Group Ltd,1398702,106421.0,Darin Silvernagle,Silver Martin S,1.8485449049414384,Victory Electronic Cigarettes Corp
International Investment Group,Electronic Cigarettes International Group Ltd,1398702,106421.0,Darin Silvernagle,Silver Martin S,1.8485449049414384,Victory Electronic Cigarettes Corp
Global,Notis Global Inc,1547996,161526.0,Michael Sigala,Sigal Michael Robert,1.5025420686478772,Medbox Inc
Global,Notis Global Inc,1547996,161526.0,Michael Sigala,Sigal Michael Robert,1.5025420686478772,Medbox Inc
Global,Heritage Global Inc,849145,161526.0,Michael Sigala,Sigal Michael Robert,1.481482972237846,Counsel Rb Capital Inc
Global,Heritage Global Inc,849145,161526.0,Michael Sigala,Sigal Michael Robert,1.481482972237846,C Global Technologies Inc
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors,Nuveen Fund Advisors,0.0,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors,Nuveen Fund Advisors,0.0,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors,Nuveen Fund Advisors,0.0,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors,Nuveen Fund Advisors,0.0,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors,Nuveen Fund Advisors,0.0,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors,Nuveen Fund Advisors,0.0,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Diane Meggs,Meggs Diane S,0.4187447285282945,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Diane Meggs,Meggs Diane S,0.4187447285282945,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Diane Meggs,Meggs Diane S,0.4187447285282945,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Diane Meggs,Meggs Diane S,0.4187447285282945,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Diane Meggs,Meggs Diane S,0.4187447285282945,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Diane Meggs,Meggs Diane S,0.4187447285282945,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Steve Mitchell,Stevens Jon Mitchell,0.5721402587118836,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Steve Mitchell,Stevens Jon Mitchell,0.5721402587118836,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Steve Mitchell,Stevens Jon Mitchell,0.5721402587118836,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Steve Mitchell,Stevens Jon Mitchell,0.5721402587118836,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Steve Mitchell,Stevens Jon Mitchell,0.5721402587118836,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Steve Mitchell,Stevens Jon Mitchell,0.5721402587118836,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Austin Wachter,Wachter Austin Penn,0.5909725240253645,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Austin Wachter,Wachter Austin Penn,0.5909725240253645,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Austin Wachter,Wachter Austin Penn,0.5909725240253645,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Austin Wachter,Wachter Austin Penn,0.5909725240253645,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Austin Wachter,Wachter Austin Penn,0.5909725240253645,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Austin Wachter,Wachter Austin Penn,0.5909725240253645,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,0.3876877490545286,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,0.3876877490545286,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,0.3876877490545286,Nuveen Asset Management
Nuveen Asset Management,Nuveen Asset Management,1521019,155584.0,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,0.3876877490545286,Nuveen Asset Management
