,form_d_fund_id,cik_no_fund,fund,form_adv_fund_id,crd_no_fund,matched_fund,fund_confidence,form_adv_firm_id,crd_no_firm,matched_firm,firm_confidence,related_partners,direct_owners_firm,owners_firm_ratio,direct_owners_fund,owners_fund_ratio
0,29719,1302998,Forester Offshore,,160806,Forester Offshore,0.0,,109455,Mark Offshore Management,0.762,Forester Capital,,0.0,Saldarelli Matthew David,0.35
1,30665,1387152,Forester Diversified,,160806,Forester Diversified,0.0,101058.0,123859,Diversified,0.638,Forester Capital,Fisher Michael Allen,0.444,Saldarelli Matthew David,0.35
2,30665,1387152,Forester Diversified,,160806,Forester Diversified,0.0,101058.0,123859,Diversified,0.638,Thomas Parsons Jr,Rosenzweig Irvin William,0.293,Carmichael Trent Andrew,0.35
3,30665,1387152,Forester Diversified,,160806,Forester Diversified,0.0,101058.0,123859,Diversified,0.638,David Bree,Levy David P,0.545,Carmichael Trent Andrew,0.364
4,30665,1387152,Forester Diversified,,160806,Forester Diversified,0.0,101058.0,123859,Diversified,0.638,Trent Carmichael,Horwath Michael Todd,0.5,Carmichael Trent Andrew,0.513
5,34156,1559069,Fiam Emerging Markets All Cap Fund,10035.0,133196,Fiam Emerging Markets All Cap Fund,0.0,,289832,Emerging Markets Alternatives,0.836,Judy Marlinski,Emerging Markets Alternatives,0.326,Marlinski Judy Anne,0.545
6,33512,1534559,Dms Global Tactical Asset Allocation Fund,,145851,Dms Global Tactical Asset Allocation Fund,0.0,3266.0,132451,Tactical Allocation Group,0.785,N A Discretionary Management Services,Peters James F,0.314,Demarche Associates,0.321
7,28919,1173722,Two Sigma Cayman Fund,13512.0,137137,Two Sigma Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.754,Ian Pilgrim,Schoppner Dawn Marie,0.323,Hitchon Jonathan William,0.4
8,28919,1173722,Two Sigma Cayman Fund,13512.0,137137,Two Sigma Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.754,James Keyes,Ramakrishna Satish,0.345,Ramakrishna Satish,0.345
9,28919,1173722,Two Sigma Cayman Fund,13512.0,137137,Two Sigma Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.754,Warren Keens,Otto Carsten Nmn,0.429,Otto Carsten Nmn,0.429
10,33607,1539292,Pagosa Partners,142001.0,226715,Pagosa Partners,0.0,,284477,Asana Partners,0.708,Wellington Management Investment,Holton Micah John,0.367,Wellington Management Funds Holdings Llp,0.694
11,33339,1526730,Ewf Partners Ii,,1588,Ewf Partners Ii,0.0,7201.0,114980,Ewing Partners,0.892,Michael Beall,Ewing Asset Management,0.229,Beall Michael Sunderland,0.541
12,33339,1526730,Ewf Partners Ii,,1588,Ewf Partners Ii,0.0,7201.0,114980,Ewing Partners,0.892,George Smith,Ewing Timothy Gordon,0.312,Smith George Levin,0.533
13,33339,1526730,Ewf Partners Ii,,1588,Ewf Partners Ii,0.0,7201.0,114980,Ewing Partners,0.892,Robert Mizell,Ewing Asset Management,0.286,Mizell Robert Francis,0.471
14,33339,1526730,Ewf Partners Ii,,1588,Ewf Partners Ii,0.0,7201.0,114980,Ewing Partners,0.892,Eddie Eddins,Ewing Timothy Gordon,0.312,Terzimehic Edin Nmn,0.452
15,33512,1534559,Dms Global Tactical Asset Allocation Fund,,145851,Dms Global Tactical Asset Allocation Fund,0.0,3266.0,132451,Tactical Allocation Group,0.785,Timothy Marchesi,Peters James F,0.333,Marchesi Timothy John,0.486
16,31287,1429725,Forester Partners Ii,,160806,Forester Partners Ii,0.0,,157355,Forest Capital Partners,0.786,Forester Capital,,0.0,Saldarelli Matthew David,0.35
17,33607,1539292,Pagosa Partners,142001.0,226715,Pagosa Partners,0.0,,284477,Asana Partners,0.708,Wellington Alternative Investments,Brown Terry Steven,0.385,Wellington Management Funds Holdings Llp,0.514
18,30567,1380293,Dovetail Equity Partners,3147.0,136245,Dovetail Equity Partners,0.0,,162429,Mangrove Equity Partners,0.711,Lapides Asset Management,Mep Management,0.632,Pellegrino Francis Antoinette,0.34
19,29196,1225355,Harvest Capital,2852.0,124477,Harvest Capital,0.0,,172106,Harvest Capital Management,0.55,Harvest Management,Foley Wendy Barry,0.229,Gilmartin Sueellen,0.389
20,30649,1385977,Miura Global Partners Ii,3008.0,161017,Miura Global Partners Ii,0.0,3008.0,161017,Miura Global Management,0.719,Miura Global Capital,Luca Joseph Anthony,0.308,Luca Joseph Anthony,0.308
21,30649,1385977,Miura Global Partners Ii,3008.0,161017,Miura Global Partners Ii,0.0,3008.0,161017,Miura Global Management,0.719,Miura Global Management,Luca Joseph Anthony,0.333,Luca Joseph Anthony,0.333
22,33339,1526730,Ewf Partners Ii,,1588,Ewf Partners Ii,0.0,7201.0,114980,Ewing Partners,0.892,Coleman Wortham Iii,Ewing Timothy Gordon,0.308,Wortham Coleman Iii,0.579
23,30960,1408343,Boone Real Estate,,161719,Boone Real Estate,0.0,,282250,M Real Estate,0.785,Graham Farinha,Murnaghan John Julian,0.4,Farinha Graham Jude,0.424
24,28063,1053423,Hedge Strategy Fund,,122268,Hedge Strategy Fund,0.0,,115311,The Hedge Strategy,0.694,Christine Jemison,Pearlstone Scott,0.424,Jemison Christine Louise,0.585
25,28063,1053423,Hedge Strategy Fund,,122268,Hedge Strategy Fund,0.0,,115311,The Hedge Strategy,0.694,Scott Swain,Pearlstone Scott,0.37,Powers Susanne Marie,0.323
26,28063,1053423,Hedge Strategy Fund,,122268,Hedge Strategy Fund,0.0,,115311,The Hedge Strategy,0.694,Terence Sullivan,Pearlstone Scott,0.375,Sullivan Terence Conway,0.462
27,31198,1423704,Great Gable Fund Ii,,133184,Great Gable Fund Ii,0.0,,133184,Great Gable Partners,0.818,Jacques Soenens,Soenens Jacques A,0.5,Soenens Jacques A,0.5
28,30960,1408343,Boone Real Estate,,161719,Boone Real Estate,0.0,,282250,M Real Estate,0.785,Giles Cadman,Boadle James Alexander,0.412,Cadman Giles,0.5
29,30960,1408343,Boone Real Estate,,161719,Boone Real Estate,0.0,,282250,M Real Estate,0.785,Michael King,Turner Michael,0.538,King Michael Frank,0.6
30,30034,1334508,Two Sigma Eclipse Cayman Fund,13512.0,137137,Two Sigma Eclipse Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.882,Warren Keens,Otto Carsten Nmn,0.429,Otto Carsten Nmn,0.429
31,31287,1429725,Forester Partners Ii,,160806,Forester Partners Ii,0.0,,157355,Forest Capital Partners,0.786,Forester Performance,,0.0,Carmichael Trent Andrew,0.279
32,29196,1225355,Harvest Capital,2852.0,124477,Harvest Capital,0.0,,172106,Harvest Capital Management,0.55,Harvest Advisors,Foley Wendy Barry,0.242,Kellner Marjorie Gochberg,0.293
33,33512,1534559,Dms Global Tactical Asset Allocation Fund,,145851,Dms Global Tactical Asset Allocation Fund,0.0,3266.0,132451,Tactical Allocation Group,0.785,Thomas Woolwine,Peters James F,0.207,Woolwine Thomas Conrad,0.486
34,33822,1547120,High Haith Partners,142001.0,226715,High Haith Partners,0.0,,284712,Highline Wealth Partners,0.842,Wellington Alternative Investments,Rugg Jonathan Christopher,0.305,Wellington Management Funds Holdings Llp,0.514
35,32804,1504960,Sei Core Property Fund,5025.0,105146,Sei Core Property Fund,0.0,,282709,Cove Property Group,0.915,Sei Investment Strategies,Blue Sky Alternative Investments,0.526,Peterson Michael Neil,0.348
36,27674,1006700,Zazove Aggressive Growth Fund,2078.0,104751,Zazove Aggressive Growth Fund,0.0,2078.0,104751,Zazove Associates,0.94,N A Zazove Associates,Zazove Associates,0.895,Zazove Associates,0.895
37,27674,1006700,Zazove Aggressive Growth Fund,2078.0,104751,Zazove Aggressive Growth Fund,0.0,2078.0,104751,Zazove Associates,0.94,Steven Kleiman,Steven M Kleiman Declaration Of Trust Dtd ,0.5,Steven M Kleiman Declaration Of Trust Dtd ,0.5
38,29266,1238497,Turbo Multi Strategy,142557.0,133297,Turbo Multi Strategy,0.0,,290253,Multi Strategy Management,0.74,Kevin Brandt,Milstein Benjamin,0.483,Brandt Kevin Michael,0.438
39,29266,1238497,Turbo Multi Strategy,142557.0,133297,Turbo Multi Strategy,0.0,,290253,Multi Strategy Management,0.74,Laura Mcgrath,Barach Joshua,0.385,Mcgrath Laura Piper,0.438
40,29266,1238497,Turbo Multi Strategy,142557.0,133297,Turbo Multi Strategy,0.0,,290253,Multi Strategy Management,0.74,Paul Saunders,Milstein Benjamin,0.267,Saunders Paul Hutchison,0.444
41,29266,1238497,Turbo Multi Strategy,142557.0,133297,Turbo Multi Strategy,0.0,,290253,Multi Strategy Management,0.74,N A James River Capital Corp,Barach Joshua,0.244,Saunders Paul Hutchison,0.314
42,29266,1238497,Turbo Multi Strategy,142557.0,133297,Turbo Multi Strategy,0.0,,290253,Multi Strategy Management,0.74,Molly Aulino,Milstein Benjamin,0.345,Harrison Molly A,0.5
43,33996,1552909,Marshall Wace Funds Mw Global Opportunities Us Fund,5415.0,157501,Marshall Wace Funds Mw Global Opportunities Us Fund,0.0,,285575,Eschaton Opportunities Fund Management,0.905,Ronan Daly,Strong William Walker,0.387,Ford Duncan Edward,0.429
44,33996,1552909,Marshall Wace Funds Mw Global Opportunities Us Fund,5415.0,157501,Marshall Wace Funds Mw Global Opportunities Us Fund,0.0,,285575,Eschaton Opportunities Fund Management,0.905,Robert Bovet,Shaoul Ralph Abraham,0.188,Pearce Christopher,0.333
45,33996,1552909,Marshall Wace Funds Mw Global Opportunities Us Fund,5415.0,157501,Marshall Wace Funds Mw Global Opportunities Us Fund,0.0,,285575,Eschaton Opportunities Fund Management,0.905,David Hammond,William Strong Advisors,0.333,Ford Duncan Edward,0.323
46,33996,1552909,Marshall Wace Funds Mw Global Opportunities Us Fund,5415.0,157501,Marshall Wace Funds Mw Global Opportunities Us Fund,0.0,,285575,Eschaton Opportunities Fund Management,0.905,Linburgh Martin,Strong William Walker,0.278,Mansour Charles Marcus,0.432
47,33996,1552909,Marshall Wace Funds Mw Global Opportunities Us Fund,5415.0,157501,Marshall Wace Funds Mw Global Opportunities Us Fund,0.0,,285575,Eschaton Opportunities Fund Management,0.905,Marshall Wace Gp,Strong William Walker,0.378,Mansour Charles Marcus,0.474
48,33996,1552909,Marshall Wace Funds Mw Global Opportunities Us Fund,5415.0,157501,Marshall Wace Funds Mw Global Opportunities Us Fund,0.0,,285575,Eschaton Opportunities Fund Management,0.905,Marshall Wace Llp,Shaoul Ralph Abraham,0.378,Mansour Charles Marcus,0.462
49,28919,1173722,Two Sigma Cayman Fund,13512.0,137137,Two Sigma Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.754,Two Sigma Investments Lp,Two Sigma Management,0.727,Two Sigma Management,0.727
50,27674,1006700,Zazove Aggressive Growth Fund,2078.0,104751,Zazove Aggressive Growth Fund,0.0,2078.0,104751,Zazove Associates,0.94,Gene Pretti,Pretti Gene Thomas,0.414,Pretti Gene Thomas,0.414
51,29177,1221487,Brant Point Fund,2587.0,157572,Brant Point Fund,0.0,2587.0,157572,Brant Point Investment Management,0.829,John Buoncore,Buoncore John J,0.571,Buoncore John J,0.571
52,29177,1221487,Brant Point Fund,2587.0,157572,Brant Point Fund,0.0,2587.0,157572,Brant Point Investment Management,0.829,Ira Unschuld,Unschuld Ira,0.667,Unschuld Ira,0.667
53,30934,1407091,Strategic Global Balanced Institutional Trust I,36.0,104862,Strategic Global Balanced Institutional Trust I,0.0,62735.0,175300,Global Strategic Investment Solutions,0.84,Brian Murdock,Thompson Curt Randall,0.294,Murdock Brian Andrew,0.424
54,29124,1213632, Capital Fund,,317866, Capital Fund,0.0,57793.0,301958,Sp Capital Fund C,0.659,Anne Petach,Starkey Brittany,0.296,Bryan Michael Joseph,0.323
55,29124,1213632, Capital Fund,,317866, Capital Fund,0.0,57793.0,301958,Sp Capital Fund C,0.659,Ian Pilgrim,Starkey Brittany,0.296,Bryan Michael Joseph,0.323
56,29124,1213632, Capital Fund,,317866, Capital Fund,0.0,57793.0,301958,Sp Capital Fund C,0.659,W Woods,Smith Richard,0.2,Bryan Michael Joseph,0.222
57,33822,1547120,High Haith Partners,142001.0,226715,High Haith Partners,0.0,,284712,Highline Wealth Partners,0.842,Wellington Management Investment,Rugg Jonathan Christopher,0.351,Wellington Management Funds Holdings Llp,0.694
58,33822,1547120,High Haith Partners,142001.0,226715,High Haith Partners,0.0,,284712,Highline Wealth Partners,0.842,Wellington Management Company Llp,Rugg Jonathan Christopher,0.345,Wellington Management Funds Holdings Llp,0.767
59,29896,1321086,Cmwa Capital Appreciation Fund,,119467,Cmwa Capital Appreciation Fund,0.0,,108401,S,1.0,James Wert,Sherman Mark Douglas,0.2,Wert James William,0.5
60,29896,1321086,Cmwa Capital Appreciation Fund,,119467,Cmwa Capital Appreciation Fund,0.0,,108401,S,1.0,Cynthia Koury,Sherman Mark Douglas,0.303,Koury Cynthia Gardner,0.529
61,29896,1321086,Cmwa Capital Appreciation Fund,,119467,Cmwa Capital Appreciation Fund,0.0,,108401,S,1.0,Douglas Smorag,Sherman Mark Douglas,0.412,Smorag Douglas John,0.545
62,27870,1031960,Quissett Partners,142001.0,226715,Quissett Partners,0.0,,137349,Quest Partners,0.84,Wellington Management Investment,,0.0,Wellington Management Funds Holdings Llp,0.694
63,27870,1031960,Quissett Partners,142001.0,226715,Quissett Partners,0.0,,137349,Quest Partners,0.84,Wellington Management Company Llp,,0.0,Wellington Management Funds Holdings Llp,0.767
64,27870,1031960,Quissett Partners,142001.0,226715,Quissett Partners,0.0,,137349,Quest Partners,0.84,Wellington Alternative Investments,,0.0,Wellington Management Funds Holdings Llp,0.514
65,29177,1221487,Brant Point Fund,2587.0,157572,Brant Point Fund,0.0,2587.0,157572,Brant Point Investment Management,0.829,Keith Curtis,Unschuld Ira,0.25,Unschuld Ira,0.25
66,32804,1504960,Sei Core Property Fund,5025.0,105146,Sei Core Property Fund,0.0,,282709,Cove Property Group,0.915,Sei Investments Management Corporation,Blue Sky Alternative Investments,0.429,Withrow Wayne Montgomery,0.355
67,29712,1302309,Strategic Funds Spc,36.0,104862,Strategic Funds Spc,0.0,,152717,Strategic Investing Funds,0.787,Kendall Rose,,0.0,Kearsley Ranjani,0.429
68,29712,1302309,Strategic Funds Spc,36.0,104862,Strategic Funds Spc,0.0,,152717,Strategic Investing Funds,0.787,Stephen Mandella,,0.0,Mandella Stephen Warren,0.513
69,30266,1356811,Stieven Financial Investors,3467.0,136106,Stieven Financial Investors,0.0,,109180,Investors Financial,0.743,Stieven Capital Gp,,0.0,Stieven Capital Advisors Gp,0.8
70,30266,1356811,Stieven Financial Investors,3467.0,136106,Stieven Financial Investors,0.0,,109180,Investors Financial,0.743,Joseph Stieven,,0.0,Stieven Joseph Albert,0.457
71,31033,1413378,Viking Global Equities Ii,227.0,132272,Viking Global Equities Ii,0.0,227.0,132272,Viking Global Investors,0.761,Rose Shabet,Shabet Rose Sharon,0.552,Shabet Rose Sharon,0.552
