cik_no,fund_name,matched_fund_name,matched_firm_name,related_partner,matched_owner_name,crd_no_fund,matched_fund_confidence,crd_no_firm,matched_firm_confidence,crd_no_owner,matched_firmowners_confidence
1486375,Prism Amber Fund Lp,Prism Amber Fund Lp,Prism Funds,Richard Simkus,Simkus Richard Victor,147911.0,1.4901161193847656e-08,147911.0,0.8032374434297811,147911.0,1.4556734622508796
1486375,Prism Amber Fund Lp,Prism Amber Fund Lp,Prism Funds,Richard Simkus,Simkus Richard Victor,147911.0,1.4901161193847656e-08,147911.0,0.8032374434297811,147911.0,1.4556734622508796
1492850,Suja Minerals Corp,,M,Prashanth Prakash,Prakash Anand,304760.0,0.9999999999999998,289388.0,1.0,160845.0,1.3655471478095988
93314,Volitionrx Ltd,,Volition Capital,Lawrence Cheung,Cheng Lawrence,162180.0,1.0,289388.0,0.9459078912556528,162180.0,1.6562386054370384
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1062720,Enviro Serve Inc,Enervest,Enervest Investment Services L L C,Michal Handerhan,Vanderhider James Michael,297181.0,0.9526267672182588,109846.0,0.9597338148271756,297181.0,1.8283466411809128
886982,Goldman Sachs Group,Goldman Sachs Gms Erisa Group Trust,Goldman Sachs Co,Gregory Palm,Palm Gregory Kenneth,361.0,0.7167249621958041,113308.0,0.5141976204853763,361.0,1.3029077351555332
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Steven Heim,Heim Steven F,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.4594380140538503
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Steven Heim,Heim Steven F,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.4594380140538503
