form_d_fund_id,cik_no_fund,fund,form_adv_fund_id,crd_no_fund,matched_fund,fund_confidence,related_partners,direct_owners_fund,owners_fund_ratio
31868,1460126,Permit Capital International Fund,2697.0,138436,Permit Capital International Fund,0.0,John Broderick,Broderick John Charles,0.5
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Nadeem Meghji,Karim Farhad Mawji,0.387
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Anthony Beovich,Blackstone Holdings I Lp,0.308
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Giovanni Cutaia,Quinlan Paul Daniel,0.412
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Matthew Skurbe,Mccarthy Baldwin Kathleen Theresa,0.383
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,N A Blackstone Property Associates Europe,Blackstone Holdings I Lp,0.492
31868,1460126,Permit Capital International Fund,2697.0,138436,Permit Capital International Fund,0.0,Peter Morse,Morse Peter Christopher,0.529
31868,1460126,Permit Capital International Fund,2697.0,138436,Permit Capital International Fund,0.0,Richard Worley,Worley Richard Brown,0.529
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Robert Harper,Russo Madeleine Kane,0.364
31868,1460126,Permit Capital International Fund,2697.0,138436,Permit Capital International Fund,0.0,Jim Barossi,Barossi James,0.583
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Brett Newman,Caplan Kenneth Alan,0.323
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Paul Quinlan,Caplan Kenneth Alan,0.452
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Tyler Henritze,Caplan Kenneth Alan,0.303
31895,1460807,Gt Emerging Markets Qp,,109319,Gt Emerging Markets Qp,0.0,Michael Douglass,Kearns Darren Douglas,0.541
31895,1460807,Gt Emerging Markets Qp,,109319,Gt Emerging Markets Qp,0.0,Charles Gerber,Gerber Charles Cole,0.545
31895,1460807,Gt Emerging Markets Qp,,109319,Gt Emerging Markets Qp,0.0,N A Gerber Taylor Management Company,Gerber Taylor Capital Advisors Lp,0.551
38218,1676758,Harmonic Investors Fund I,2555.0,169172,Harmonic Investors Fund I,0.0,Jeff Fortier,Joyce David George,0.4
35854,1613677,Angeles Absolute Return Fund,9052.0,110213,Angeles Absolute Return Fund,0.0,Howard Perlow,Perlow Howard David,0.438
31895,1460807,Gt Emerging Markets Qp,,109319,Gt Emerging Markets Qp,0.0,William Pickens,Pickens William Ernest,0.541
27780,1019190,Mhr Capital Partners ,2665.0,157212,Mhr Capital Partners ,0.0,Mark Rachesky Md,Rachesky Mark,0.69
35854,1613677,Angeles Absolute Return Fund,9052.0,110213,Angeles Absolute Return Fund,0.0,N A Angeles Investment Advisors,Azelton Aaron,0.364
38218,1676758,Harmonic Investors Fund I,2555.0,169172,Harmonic Investors Fund I,0.0,Chad Atkins,Atkins Charles Dameron,0.364
42956,1746223,Carlyle Ngp Xii Coinvestment,3811.0,111128,Carlyle Ngp Xii Coinvestment,0.0,N A Gfw Xii,Ferguson Jeffrey William,0.286
42956,1746223,Carlyle Ngp Xii Coinvestment,3811.0,111128,Carlyle Ngp Xii Coinvestment,0.0,N A Gfw Energy Xii Lp,Buser Curtis Lyle,0.316
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,N A Blackstone Property Associates Europe Lp,Blackstone Holdings I Lp,0.529
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Kathleen Mccarthy,Kassen Patrick John,0.444
57011,1785621,Sandalwood Private Partnership Ii,13847.0,27240,Sandalwood Private Partnership Ii,0.0,N A Sandalwood Securities,Larson Joan Litterst,0.356
57011,1785621,Sandalwood Private Partnership Ii,13847.0,27240,Sandalwood Private Partnership Ii,0.0,Martin Gross,Gross Martin Jeffrey,0.5
35854,1613677,Angeles Absolute Return Fund,9052.0,110213,Angeles Absolute Return Fund,0.0,Stephen Smetana,Smetana Stephen Thomas,0.541
57011,1785621,Sandalwood Private Partnership Ii,13847.0,27240,Sandalwood Private Partnership Ii,0.0,N A Sandalwood Associates Iii,Oswald Thomas Richard,0.36
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Kenneth Caplan,Caplan Kenneth Alan,0.667
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Jonathan Gray,Mccarthy Baldwin Kathleen Theresa,0.348
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,Patrick Kassen,Kassen Patrick John,0.545
34579,1573981,Arrowstreet International Equity Acwi Ex Us Fund A Sub Fund Of Arrowstreet Us Group Trust,627.0,111298,Arrowstreet International Equity Acwi Ex Us Fund A Sub Fund Of Arrowstreet Us Group Trust,0.0,Limited Partnership Arrowstreet Capital,Arrowstreet Capital Gp,0.623
38218,1676758,Harmonic Investors Fund I,2555.0,169172,Harmonic Investors Fund I,0.0,David Joyce,Joyce David George,0.552
35854,1613677,Angeles Absolute Return Fund,9052.0,110213,Angeles Absolute Return Fund,0.0,Leslie Kautz,Kautz Leslie B,0.538
35854,1613677,Angeles Absolute Return Fund,9052.0,110213,Angeles Absolute Return Fund,0.0,Michael Rosen,Rosen Michael A,0.571
40635,1721011,Blackstone Property Partners Europe F,,226598,Blackstone Property Partners Europe F,0.0,N A Blackstone Property Associates Europe Delaware,Blackstone Holdings I Lp,0.432
31895,1460807,Gt Emerging Markets Qp,,109319,Gt Emerging Markets Qp,0.0,Simone Meeks,Meeks Simone Tullos,0.516
31895,1460807,Gt Emerging Markets Qp,,109319,Gt Emerging Markets Qp,0.0,David East,East David George,0.444
